id,features
10,"[0.1470944583415985, 1.0527691841125488, 0.06695104390382767, 0.2533167600631714, 0.17517654597759247, 0.5150220990180969, 0.18830619752407074, 0.5612077713012695, 0.11690513044595718, 0.7164477705955505]"
20,"[0.3265678286552429, 0.8126213550567627, 0.291024774312973, 0.2019975185394287, 0.07414088398218155, 0.28579211235046387, 0.1896151900291443, 0.0, 0.2144250124692917, 0.6404935717582703]"
30,"[0.062478888779878616, 0.31599748134613037, 0.5791428089141846, 0.3001810908317566, 0.24250899255275726, 0.7564316987991333, 0.7732725143432617, 0.8404824137687683, 0.35800859332084656, 0.30800914764404297]"
40,"[0.2604861557483673, 0.2219250202178955, 0.2923748195171356, 1.192988395690918, 0.2973928153514862, 0.24102641642093658, 0.49306419491767883, 1.0335313081741333, 0.6251017451286316, 0.0]"
50,"[0.5468850135803223, 0.7596492171287537, 0.34911125898361206, 0.2613763213157654, 0.28483110666275024, 0.6529577374458313, 0.8862615823745728, 0.925055742263794, 0.03235083818435669, 0.6386048197746277]"
60,"[0.3056837022304535, 0.4378160834312439, 0.2810671627521515, 0.9317235350608826, 0.4733023941516876, 0.2681100368499756, 0.2447773963212967, 0.4308412969112396, 0.0, 0.595085084438324]"
70,"[0.12543974816799164, 0.6565867066383362, 0.1971788853406906, 0.0, 0.604695737361908, 0.0, 0.05349801853299141, 0.6339764595031738, 0.043736349791288376, 1.1005254983901978]"
80,"[0.348532110452652, 0.32993271946907043, 0.623378574848175, 0.25705409049987793, 0.8821427822113037, 0.371814489364624, 0.4116627871990204, 0.8243089318275452, 0.5660153031349182, 0.4180658161640167]"
90,"[0.5149303674697876, 0.44899851083755493, 0.36640664935112, 0.5502868294715881, 0.4234653413295746, 0.7490220665931702, 0.5697032809257507, 0.8862546682357788, 0.1537543386220932, 0.35343870520591736]"
100,"[0.46853315830230713, 0.6976853609085083, 0.512464702129364, 0.12941525876522064, 0.37352004647254944, 0.33387497067451477, 0.20208705961704254, 0.4516178071498871, 0.3061157166957855, 0.6943162083625793]"
110,"[0.5958259701728821, 0.9912047386169434, 0.14789621531963348, 0.20902925729751587, 0.13414400815963745, 0.5980743169784546, 0.7915642261505127, 0.45250654220581055, 0.0, 0.9221835732460022]"
120,"[0.4224754571914673, 0.7441405653953552, 0.28166651725769043, 0.3496687114238739, 0.04141168296337128, 0.3587875962257385, 0.45194968581199646, 0.4238344430923462, 0.02643573470413685, 0.36793091893196106]"
