,id,features
0,10,"[0.32395800948143005, 0.15089115500450134, 0.0004994956543669105, 0.6308487057685852, 0.30462583899497986, 0.1693454533815384, 0.9596540331840515, 0.45777425169944763, 0.1315121203660965, 0.7089406847953796]"
1,20,"[0.08426737785339355, 0.14661091566085815, 0.008536679670214653, 0.16919675469398499, 0.397983193397522, 0.20900538563728333, 0.49645647406578064, 0.6209911108016968, 0.19258658587932587, 0.7864838242530823]"
2,30,"[0.6760172843933105, 0.6854946613311768, 0.6442050337791443, 0.8104848861694336, 0.2893315255641937, 0.21803951263427734, 0.3122228980064392, 0.6105191111564636, 0.25332513451576233, 0.15190359950065613]"
3,40,"[0.5248790979385376, 0.42944735288619995, 0.6426901817321777, 0.8693326711654663, 0.8618643283843994, 0.16100305318832397, 0.27669692039489746, 0.3452662229537964, 0.4969649612903595, 0.0]"
4,50,"[0.8051068782806396, 0.5692274570465088, 0.2680639922618866, 1.0856430530548096, 0.30769479274749756, 0.04180601239204407, 0.5311448574066162, 0.7121395468711853, 0.06673409789800644, 0.6766577363014221]"
5,60,"[0.1733642965555191, 0.44512614607810974, 0.5060511827468872, 0.4405105710029602, 0.7574597597122192, 0.04978733882308006, 0.6016583442687988, 0.3665532171726227, 0.2070028930902481, 0.38220325112342834]"
6,70,"[0.44318702816963196, 0.03717363253235817, 0.2479424774646759, 0.23764078319072723, 0.0, 0.004389969632029533, 1.0889497995376587, 0.8428998589515686, 0.04231758788228035, 0.3384009003639221]"
7,80,"[0.4997103810310364, 0.4313720464706421, 0.8617150187492371, 0.6934352517127991, 0.07413282990455627, 0.3078872859477997, 0.49058297276496887, 0.6948396563529968, 0.5090636610984802, 0.4025844931602478]"
8,90,"[0.4259108304977417, 0.8016568422317505, 0.06714671850204468, 1.0439586639404297, 0.7136497497558594, 0.17594018578529358, 0.15351048111915588, 0.38877809047698975, 0.2937878668308258, 0.5675305724143982]"
9,100,"[0.26715391874313354, 0.15652024745941162, 0.43633267283439636, 0.49371084570884705, 0.1828823983669281, 0.14918988943099976, 0.5191147327423096, 0.6244229078292847, 0.4131695330142975, 0.7923513054847717]"
10,110,"[0.5407031774520874, 0.48828092217445374, 0.0, 0.7764115929603577, 0.2660748064517975, 0.0, 0.750421404838562, 0.7228941321372986, 0.005382310599088669, 1.0210264921188354]"
11,120,"[0.31973135471343994, 0.2794184386730194, 0.10823158174753189, 0.5722458958625793, 0.47922876477241516, 0.01554927509278059, 0.30706438422203064, 0.5902128219604492, 0.025868147611618042, 0.6089635491371155]"
