,id,features
0,640,"[0.5853673219680786, 1.1955639123916626, 0.4951632022857666, 0.13480424880981445, 1.0362663269042969, 0.20465748012065887, 1.2194712162017822, 1.441368579864502, 0.0, 0.952410101890564]"
1,650,"[0.7357923984527588, 1.1214193105697632, 0.21187373995780945, 0.2531673014163971, 0.2891959547996521, 0.22899387776851654, 1.1100995540618896, 1.0686187744140625, 0.2646044194698334, 1.332033634185791]"
2,660,"[0.41824525594711304, 0.8636453151702881, 0.4037008285522461, 0.5630577206611633, 0.47102659940719604, 0.9386900067329407, 0.5916252732276917, 0.8064484596252441, 0.20843149721622467, 0.9693125486373901]"
3,670,"[0.0, 0.23701752722263336, 0.10014515370130539, 0.2543550133705139, 0.4126460552215576, 1.0301826000213623, 1.1082247495651245, 1.4238709211349487, 0.37851059436798096, 0.4527537226676941]"
4,680,"[0.2757687568664551, 0.9952836632728577, 0.4132325351238251, 0.5568215250968933, 0.21645094454288483, 0.9746404886245728, 1.0779290199279785, 0.7427274584770203, 0.1908959150314331, 1.1489949226379395]"
5,690,"[0.5006953477859497, 1.2425299882888794, 0.48992016911506653, 0.5452683568000793, 0.7031163573265076, 0.9168832898139954, 0.7222431302070618, 1.2733112573623657, 0.3804659843444824, 1.2677266597747803]"
6,700,"[0.8869383335113525, 0.09711296111345291, 0.7915464043617249, 0.057546451687812805, 0.9622717499732971, 1.0313212871551514, 0.8712504506111145, 1.0988885164260864, 0.0, 1.1656649112701416]"
7,710,"[0.4326426684856415, 0.9473744034767151, 0.46646782755851746, 0.4884147644042969, 0.6745433211326599, 0.887735903263092, 0.7146714329719543, 1.3242031335830688, 0.1429893672466278, 1.092244267463684]"
8,720,"[0.5531107187271118, 1.0935884714126587, 0.38630926609039307, 0.3103174865245819, 0.11784866452217102, 0.8431427478790283, 0.8620223999023438, 0.45376935601234436, 0.007720452267676592, 0.921821117401123]"
9,730,"[0.445899099111557, 0.5837273001670837, 0.5481443405151367, 0.04343774914741516, 0.2408757507801056, 1.0490305423736572, 1.2177972793579102, 1.185151219367981, 0.05370473116636276, 1.2297261953353882]"
10,740,"[0.46784648299217224, 0.7885892391204834, 0.5085103511810303, 0.6982573866844177, 0.962127149105072, 0.9018826484680176, 0.9490312933921814, 1.4380841255187988, 0.3614243268966675, 1.1135371923446655]"
11,750,"[0.5105680227279663, 0.73807692527771, 0.4230464696884155, 1.1516950130462646, 0.2219397872686386, 1.0457643270492554, 0.6905812621116638, 0.8350998759269714, 0.3347989320755005, 0.8410050868988037]"
12,760,"[0.7983957529067993, 0.7132081389427185, 0.7541635036468506, 0.7575824856758118, 0.7292272448539734, 0.6777851581573486, 1.0075880289077759, 1.0117799043655396, 0.450657457113266, 1.1510438919067383]"
13,770,"[0.38625168800354004, 1.1258759498596191, 0.0, 0.0, 0.20799170434474945, 0.5573094487190247, 1.2835190296173096, 1.0260013341903687, 0.03456664830446243, 1.110825777053833]"
14,780,"[0.41623958945274353, 1.3103398084640503, 0.07590863853693008, 0.8148524165153503, 0.4690721035003662, 0.6083874106407166, 0.5289518237113953, 1.1201728582382202, 0.32671263813972473, 1.0280455350875854]"
15,790,"[0.5208426117897034, 1.6035693883895874, 0.2817856967449188, 0.7943459153175354, 0.8289173245429993, 0.8067187666893005, 0.4433921277523041, 0.6593306064605713, 0.02117239311337471, 1.7131552696228027]"
16,800,"[0.0, 0.5253726840019226, 0.0, 1.1063460111618042, 0.0, 0.5168228149414062, 0.0, 1.4125936031341553, 1.032799482345581, 1.535227656364441]"
17,810,"[0.671464741230011, 1.0556716918945312, 0.3594369888305664, 0.7275344729423523, 0.28178146481513977, 0.8838423490524292, 0.8529801964759827, 1.1537035703659058, 0.09363174438476562, 0.9031651020050049]"
18,820,"[0.47509831190109253, 1.4301776885986328, 0.18058626353740692, 0.5360717177391052, 0.44971898198127747, 0.5640956163406372, 0.4617256820201874, 0.9490340352058411, 0.0751057118177414, 1.3124818801879883]"
