,id,features
0,640,"[1.3606634140014648, 0.2861190736293793, 0.8657005429267883, 1.0944287776947021, 0.2372736632823944, 0.0, 1.1314879655838013, 1.1561737060546875, 0.0, 1.1886322498321533]"
1,650,"[0.9298866391181946, 0.5678400993347168, 0.17561382055282593, 1.1728456020355225, 0.35940462350845337, 0.1409173458814621, 1.2059857845306396, 1.3291497230529785, 0.0, 0.7030048966407776]"
2,660,"[0.6424887776374817, 0.7468441724777222, 0.5160837769508362, 0.8992516398429871, 0.5086624026298523, 0.15000416338443756, 0.9713643789291382, 0.614829421043396, 0.21659807860851288, 0.8775361776351929]"
3,670,"[1.1447361707687378, 0.8470364212989807, 0.5869552493095398, 1.397205114364624, 0.06320712715387344, 0.3417911231517792, 0.6399840712547302, 0.27239125967025757, 0.0, 0.1043456420302391]"
4,680,"[0.8505991101264954, 1.0462939739227295, 0.013479642570018768, 1.031788945198059, 0.6801232099533081, 0.03405265882611275, 1.134294867515564, 0.5934745669364929, 0.0, 0.9851670265197754]"
5,690,"[1.0453484058380127, 0.6749264597892761, 0.6113315224647522, 1.1303112506866455, 0.5155959129333496, 0.30201151967048645, 1.4956108331680298, 1.0428162813186646, 0.21900323033332825, 0.9066843390464783]"
6,700,"[0.5903452038764954, 0.8465031385421753, 1.3758195638656616, 0.9110705852508545, 0.0, 0.2861357033252716, 0.9431003332138062, 1.0990780591964722, 0.521934986114502, 0.7234572172164917]"
7,710,"[0.8934944272041321, 0.7182586193084717, 0.7033441066741943, 1.2183500528335571, 0.3559703528881073, 0.17447346448898315, 1.2473260164260864, 0.8028841614723206, 0.2501002848148346, 0.7633157968521118]"
8,720,"[0.6489324569702148, 0.6614680886268616, 0.0, 0.8754138350486755, 0.42143356800079346, 0.0, 0.7191857099533081, 0.7432109713554382, 0.16561760008335114, 1.225719928741455]"
9,730,"[1.2463078498840332, 1.0351853370666504, 0.5134899616241455, 0.9833858013153076, 0.16737724840641022, 0.0, 0.9261467456817627, 0.7240819334983826, 0.0, 0.959568202495575]"
10,740,"[0.9937480092048645, 0.9259961843490601, 1.0361579656600952, 1.1849068403244019, 0.5685825943946838, 0.2477770298719406, 1.2635507583618164, 1.0077664852142334, 0.38941559195518494, 0.6425411701202393]"
11,750,"[0.62371826171875, 1.0497266054153442, 0.6428830623626709, 1.1138947010040283, 0.952634334564209, 0.19569085538387299, 0.823350727558136, 0.45958617329597473, 0.3854855000972748, 0.7075795531272888]"
12,760,"[0.900516152381897, 0.8975684642791748, 0.8741021156311035, 1.1568135023117065, 0.5814065933227539, 0.19768399000167847, 0.7170708179473877, 1.265985131263733, 0.4126340448856354, 0.7777827382087708]"
13,770,"[1.3326802253723145, 0.5643220543861389, 0.0, 0.8408042192459106, 0.08904857933521271, 0.0, 1.20120108127594, 0.6189468502998352, 0.0, 0.9450307488441467]"
