user_id,gender,age,occupation
1,0,1,10
2,1,56,16
3,1,25,15
4,1,45,7
5,1,25,20
6,0,50,9
7,1,35,1
8,1,25,12
9,1,25,17
10,0,35,1
11,0,25,1
12,1,25,12
13,1,45,1
14,1,35,0
15,1,25,7
16,0,35,0
17,1,50,1
18,0,18,3
19,1,1,10
20,1,25,14
21,1,18,16
22,1,18,15
23,1,35,0
24,0,25,7
25,1,18,4
26,1,25,7
27,1,25,11
28,0,25,1
29,1,35,7
30,0,35,7
31,1,56,7
32,0,25,0
33,1,45,3
34,0,18,0
35,1,45,1
36,1,25,3
37,0,25,9
38,0,18,4
39,1,18,4
40,1,45,0
41,0,18,4
42,1,25,8
43,1,25,12
44,1,45,17
45,0,45,16
46,1,18,19
47,1,18,4
48,1,25,4
49,1,18,12
50,0,25,2
51,0,1,10
52,1,18,4
53,1,25,0
54,1,50,1
55,0,35,12
56,1,35,20
57,1,18,19
58,1,25,2
59,0,50,1
60,1,50,1
61,1,25,17
62,0,35,3
63,1,18,4
64,1,18,1
65,1,35,12
66,1,25,18
67,0,50,5
68,1,18,4
69,0,25,1
70,1,18,4
71,1,25,14
72,0,45,0
73,1,18,4
74,1,35,14
75,0,1,10
76,1,35,7
77,1,18,4
78,0,45,1
79,0,45,0
80,1,56,1
81,0,25,0
82,1,25,17
83,0,25,2
84,1,18,4
85,1,18,4
86,0,1,10
87,1,25,14
88,0,45,1
89,0,56,9
90,1,56,13
91,1,35,7
92,0,18,4
93,1,25,17
94,1,25,17
95,1,45,0
96,0,25,16
97,0,35,3
98,0,35,7
99,0,1,10
100,1,35,17
101,0,18,3
102,1,35,19
103,1,45,7
104,1,25,12
105,1,45,12
106,0,35,11
107,1,45,18
108,1,25,12
109,1,45,15
110,1,25,2
111,1,35,15
112,1,25,16
113,1,18,12
114,0,25,2
115,1,25,17
116,1,25,17
117,1,25,17
118,1,35,17
119,0,1,10
120,1,25,11
121,1,35,7
122,0,18,4
123,1,35,9
124,1,56,7
125,1,45,14
126,1,18,9
127,0,45,3
128,1,56,6
129,1,25,11
130,1,35,17
131,1,18,4
132,1,25,17
133,0,25,0
134,1,25,0
135,1,18,4
136,1,18,2
137,0,45,6
138,1,18,20
139,0,25,20
140,0,35,1
141,1,35,13
142,1,25,7
143,1,18,3
144,1,25,17
145,1,18,4
146,0,35,20
147,1,18,4
148,1,50,17
149,1,25,1
150,1,35,7
151,0,25,20
152,1,18,4
153,1,1,10
154,1,50,20
155,1,35,12
156,0,45,7
157,1,35,16
158,1,56,7
159,0,45,0
160,1,35,7
161,1,45,16
162,0,18,4
163,1,18,4
164,0,56,13
165,1,18,16
166,1,18,4
167,0,25,11
168,0,50,0
169,1,25,7
170,1,25,11
171,0,50,17
172,1,25,3
173,1,25,0
174,1,25,16
175,0,25,2
176,0,18,3
177,1,50,1
178,1,56,17
179,1,25,0
180,1,45,12
181,1,18,17
182,1,18,4
183,0,45,1
184,0,25,0
185,1,45,0
186,1,18,5
187,0,45,1
188,1,56,16
189,1,18,0
190,1,25,17
191,1,18,4
192,1,18,1
193,0,45,15
194,0,1,10
195,1,25,12
196,0,35,9
197,1,18,14
198,1,25,12
199,1,18,4
200,0,18,4
201,0,35,2
202,1,18,4
203,0,18,4
204,1,25,7
205,1,35,12
206,1,25,17
207,1,25,12
208,1,35,17
209,1,35,1
210,0,1,10
211,1,45,17
212,1,25,16
213,0,18,4
214,1,18,20
215,1,35,14
216,1,45,13
217,1,18,4
218,1,35,14
219,0,25,4
220,1,25,12
221,0,25,0
222,1,25,1
223,1,25,17
224,0,18,4
225,1,25,7
226,1,35,1
227,1,35,20
228,1,25,15
229,1,18,10
230,1,45,1
231,1,25,3
232,1,25,20
233,0,45,20
234,1,35,7
235,1,25,0
236,1,25,5
237,1,25,6
238,0,50,7
239,1,18,19
240,1,50,17
241,1,35,20
242,0,18,4
243,1,25,16
244,1,50,7
245,1,35,16
246,0,18,4
247,1,25,17
248,1,18,17
249,0,18,14
250,1,35,16
251,1,56,17
252,1,25,12
253,0,25,11
254,1,35,17
255,1,35,0
256,1,45,16
257,1,18,18
258,1,25,7
259,1,25,1
260,1,18,19
261,1,25,20
262,0,25,1
263,0,25,7
264,1,35,0
265,0,35,7
266,1,35,11
267,1,45,12
268,0,18,12
269,1,25,2
270,1,50,14
271,1,18,4
272,1,18,0
273,1,18,4
274,1,18,4
275,1,25,0
276,1,45,16
277,0,35,1
278,1,45,18
279,1,25,14
280,1,50,7
281,0,35,0
282,1,25,17
283,1,25,0
284,1,25,12
285,0,35,0
286,1,25,1
287,1,50,13
288,0,25,12
289,0,25,0
290,0,25,20
291,1,35,12
292,1,35,7
293,1,56,1
294,0,45,9
295,1,18,0
296,1,50,5
297,1,18,2
298,0,18,4
299,1,25,12
300,1,25,7
301,1,18,4
302,1,18,4
303,1,25,7
304,1,25,0
305,0,18,0
306,1,18,0
307,1,50,16
308,1,25,2
309,1,25,4
310,0,18,4
311,1,18,4
312,0,50,2
313,0,18,4
314,0,56,9
315,0,56,1
316,1,56,13
317,1,35,7
318,0,56,13
319,0,50,6
320,1,35,6
321,1,18,4
322,1,56,17
323,1,45,12
324,1,35,17
325,0,50,3
326,1,50,11
327,1,35,18
328,1,35,12
329,1,35,7
330,1,56,7
331,1,25,7
332,1,50,1
333,1,35,2
334,0,56,2
335,1,35,18
336,1,18,0
337,1,18,19
338,1,35,7
339,1,50,7
340,0,25,3
341,0,56,13
342,1,18,12
343,0,35,3
344,1,35,14
345,1,25,12
346,0,25,0
347,0,56,1
348,1,50,7
349,1,1,10
350,1,45,20
351,1,18,4
352,1,18,4
353,0,35,7
354,1,35,1
355,1,18,3
356,1,56,20
357,1,18,0
358,0,56,1
359,1,25,17
360,1,35,17
361,0,25,14
362,1,35,20
363,1,18,10
364,0,35,1
365,0,18,4
366,1,50,15
367,1,50,12
368,1,25,0
369,1,35,1
370,1,18,17
371,1,18,4
372,0,18,4
373,0,25,2
374,0,35,14
375,1,25,2
376,1,35,1
377,1,25,17
378,0,18,0
379,0,35,1
380,1,25,2
381,1,35,17
382,0,35,20
383,0,25,7
384,1,25,11
385,1,25,6
386,1,25,0
387,0,35,7
388,0,25,0
389,1,25,6
390,1,25,4
391,1,45,11
392,1,18,7
393,1,35,17
394,1,18,0
395,1,18,5
396,1,25,1
397,1,35,17
398,1,25,17
399,0,35,6
400,0,18,3
401,1,18,0
402,1,25,11
403,1,18,4
404,1,18,4
405,1,56,1
406,1,25,20
407,1,18,17
408,1,25,11
409,1,18,12
410,0,25,1
411,0,45,1
412,1,35,15
413,1,25,11
414,1,25,0
415,0,35,0
416,1,45,14
417,0,25,0
418,0,25,3
419,1,18,3
420,1,35,1
421,0,45,3
422,1,56,17
423,1,18,4
424,1,25,17
425,1,25,12
426,1,18,4
427,1,35,12
428,0,18,4
429,1,18,0
430,0,18,10
431,1,18,10
432,1,45,16
433,1,50,6
434,0,45,3
435,1,25,7
436,1,18,4
437,1,35,17
438,1,18,11
439,1,35,14
440,1,56,1
441,1,35,1
442,1,25,1
443,1,25,3
444,1,56,0
445,1,45,12
446,0,50,0
447,0,45,11
448,1,25,17
449,1,25,7
450,1,45,1
451,1,56,13
452,1,50,17
453,1,18,4
454,1,25,20
455,0,35,2
456,1,35,0
457,1,18,4
458,1,50,16
459,0,18,4
460,1,45,18
461,1,50,7
462,1,18,16
463,1,25,7
464,0,18,4
465,1,18,19
466,1,25,5
467,0,35,3
468,0,1,10
469,1,35,6
470,0,1,10
471,1,35,7
472,1,35,0
473,0,18,4
474,1,25,17
475,0,25,2
476,1,35,0
477,1,35,14
478,1,50,16
479,1,25,12
480,0,18,4
481,1,45,7
482,1,25,14
483,1,18,12
484,0,1,10
485,1,56,7
486,1,56,0
487,0,35,17
488,1,25,12
489,1,18,4
490,1,1,10
491,1,18,4
492,1,25,12
493,1,50,7
494,0,35,0
495,1,18,10
496,1,18,4
497,0,25,17
498,1,35,17
499,0,25,1
500,0,18,2
501,1,25,2
502,1,35,6
503,1,35,11
504,1,25,2
505,1,35,17
506,1,25,16
507,0,25,0
508,1,25,12
509,1,25,2
510,1,18,12
511,0,45,4
512,1,35,0
513,1,25,0
514,1,25,2
515,1,25,1
516,0,56,14
517,0,25,14
518,0,35,12
519,0,35,14
520,0,35,20
521,1,56,7
522,1,25,12
523,1,50,7
524,1,18,0
525,1,35,6
526,1,45,17
527,0,25,2
528,0,18,17
529,1,35,12
530,1,25,2
531,0,18,14
532,1,25,7
533,1,25,12
534,1,25,15
535,1,35,6
536,1,25,20
537,1,45,14
538,1,56,16
539,1,25,2
540,1,18,1
541,0,18,4
542,1,18,4
543,1,25,5
544,1,35,12
545,1,35,17
546,0,25,0
547,1,35,12
548,0,35,16
549,1,25,6
550,1,45,8
551,1,35,20
552,1,50,18
553,1,25,2
554,1,25,12
555,1,18,4
556,0,25,9
557,1,56,1
558,1,35,20
559,0,25,7
560,1,45,15
561,0,18,14
562,1,35,20
563,1,25,4
564,1,45,1
565,1,25,16
566,1,25,17
567,1,35,20
568,0,50,17
569,0,18,4
570,1,25,4
571,1,50,5
572,1,18,4
573,0,35,2
574,1,25,19
575,1,25,12
576,0,45,15
577,1,35,0
578,1,18,17
579,1,25,5
580,1,1,10
581,1,50,14
582,1,18,4
583,0,25,0
584,0,25,0
585,1,18,1
586,1,35,14
587,1,25,20
588,0,25,11
589,1,18,2
590,0,35,6
591,1,25,0
592,1,18,0
593,0,50,1
594,0,56,13
595,1,25,7
596,0,25,1
597,1,35,12
598,1,35,7
599,1,50,6
600,1,35,17
601,0,18,20
602,0,56,6
603,0,25,6
604,1,45,17
605,0,18,4
606,0,1,10
607,1,25,0
608,1,18,4
609,1,25,7
610,1,25,4
611,1,35,0
612,1,50,7
613,1,35,20
614,1,35,1
615,1,50,17
616,1,25,7
617,0,25,7
618,1,25,0
619,0,18,1
620,1,18,0
621,1,18,4
622,1,25,0
623,1,25,17
624,1,25,1
625,0,35,12
626,1,18,4
627,1,50,2
628,0,35,0
629,0,1,10
630,0,35,14
631,1,35,17
632,1,45,17
633,1,25,17
634,0,1,10
635,1,56,17
636,1,18,20
637,1,35,12
638,1,25,6
639,1,45,17
640,1,18,4
641,0,35,0
642,0,35,1
643,1,25,2
644,1,25,20
645,1,35,20
646,1,35,7
647,1,35,12
648,0,25,12
649,1,25,4
650,1,25,17
651,1,35,7
652,1,18,20
653,1,56,13
654,1,50,7
655,0,25,2
656,0,45,16
657,0,50,13
658,0,25,0
659,0,25,0
660,1,45,16
661,1,45,1
662,1,18,4
663,0,25,7
664,1,35,18
665,1,18,2
666,0,18,0
667,1,25,18
668,0,25,3
669,1,25,17
670,1,25,12
671,1,18,4
672,1,35,7
673,1,25,20
674,1,25,17
675,1,25,20
676,1,18,16
677,1,50,2
678,1,25,0
679,1,35,16
680,1,25,12
681,1,35,7
682,1,25,4
683,1,25,4
684,1,25,4
685,1,25,4
686,1,18,4
687,0,25,7
688,1,56,13
689,0,50,0
690,1,25,12
691,1,35,11
692,0,25,0
693,1,35,12
694,1,18,4
695,0,18,1
696,1,25,12
697,0,50,6
698,1,18,4
699,1,18,0
700,1,50,17
701,0,18,4
702,1,35,7
703,0,56,1
704,0,35,8
705,1,25,4
706,1,35,20
707,1,35,7
708,1,25,0
709,1,18,0
710,1,25,20
711,1,25,18
712,1,25,0
713,1,35,7
714,1,18,4
715,1,18,0
716,1,18,4
717,1,25,11
718,1,18,2
719,1,1,0
720,1,18,0
721,0,35,9
722,1,25,12
723,1,25,12
724,1,50,13
725,1,56,11
726,0,25,9
727,1,35,11
728,1,25,6
729,1,35,12
730,1,25,0
731,1,45,3
732,1,25,7
733,1,35,16
734,1,25,7
735,1,25,14
736,1,18,12
737,1,1,19
738,1,18,17
739,1,35,12
740,1,25,14
741,1,25,5
742,1,18,0
743,0,1,2
744,1,25,17
745,1,1,10
746,0,18,19
747,1,18,4
748,1,25,0
749,1,35,18
750,0,35,9
751,0,25,17
752,0,25,3
753,1,1,10
754,1,35,7
755,0,35,0
756,1,35,0
757,1,25,12
758,1,35,7
759,0,56,3
760,1,56,15
761,1,18,7
762,1,1,10
763,1,18,10
764,1,18,20
765,1,25,17
766,0,25,7
767,1,25,12
768,1,25,12
769,1,45,17
770,1,18,4
771,0,50,1
772,1,18,12
773,1,25,6
774,1,18,4
775,1,1,17
776,0,25,3
777,1,18,19
778,1,18,17
779,1,25,0
780,1,25,17
781,1,18,4
782,1,56,1
783,1,25,4
784,1,18,0
785,1,18,19
786,1,25,0
787,1,18,4
788,1,25,0
789,1,18,1
790,1,25,17
791,1,35,7
792,1,25,17
793,0,35,14
794,1,50,20
795,0,35,14
796,1,50,6
797,0,50,7
798,0,25,20
799,0,25,5
800,0,35,12
801,0,25,20
802,1,25,16
803,1,18,4
804,1,25,20
805,1,35,12
806,1,35,0
807,1,18,4
808,1,25,7
809,1,25,17
810,1,25,12
811,1,50,0
812,1,25,6
813,1,18,4
814,0,18,4
815,1,25,4
816,1,45,0
817,1,18,4
818,1,18,4
819,1,35,7
820,1,35,7
821,1,18,2
822,0,25,1
823,1,25,0
824,1,35,12
825,1,56,1
826,0,35,1
827,1,45,2
828,1,18,4
829,1,1,19
830,1,35,7
831,0,45,0
832,1,18,2
833,1,35,7
834,0,35,12
835,1,56,0
836,1,25,11
837,1,56,7
838,1,50,17
839,1,25,0
840,0,25,3
841,0,50,14
842,0,18,0
843,1,25,7
844,1,25,0
845,0,18,0
846,1,25,5
847,0,25,7
848,1,25,15
849,1,25,3
850,1,35,0
851,1,18,4
852,1,25,5
853,1,25,17
854,0,25,16
855,0,18,2
856,0,45,6
857,1,35,17
858,1,35,14
859,1,25,12
860,1,18,0
861,1,25,7
862,1,35,7
863,1,25,7
864,0,25,0
865,1,35,1
866,1,1,10
867,1,45,12
868,1,50,17
869,1,18,20
870,0,25,1
871,1,1,10
872,1,50,1
873,1,56,6
874,1,45,15
875,1,1,10
876,1,25,4
877,1,25,0
878,1,18,2
879,1,45,16
880,1,35,17
881,1,18,14
882,1,18,2
883,0,35,14
884,1,1,10
885,1,35,0
886,0,56,0
887,0,56,16
888,0,1,10
889,1,45,20
890,1,18,4
891,1,25,1
892,1,35,0
893,0,50,6
894,1,18,4
895,1,50,1
896,1,18,15
897,1,25,6
898,1,25,7
899,0,25,1
900,0,56,13
901,0,56,0
902,1,56,0
903,1,56,13
904,1,35,20
905,0,45,12
906,1,1,10
907,0,45,6
908,0,50,1
909,1,45,7
910,0,50,0
911,1,50,0
912,0,35,2
913,1,25,0
914,0,35,9
915,1,25,7
916,0,25,1
917,1,50,6
918,0,45,1
919,0,35,1
920,1,18,4
921,1,25,17
922,1,56,16
923,1,25,7
924,1,50,17
925,0,35,3
926,1,1,10
927,0,25,20
928,0,56,16
929,1,25,15
930,1,25,5
931,0,56,1
932,0,35,6
933,1,45,1
934,0,35,7
935,1,35,14
936,1,18,4
937,1,25,15
938,0,25,1
939,0,25,20
940,1,1,10
941,1,18,20
942,0,50,6
943,0,45,12
944,1,35,0
945,1,45,7
946,1,35,7
947,1,18,0
948,1,56,12
949,1,50,17
950,1,35,7
951,1,45,2
952,1,56,16
953,1,50,20
954,0,25,0
955,0,50,7
956,1,35,1
957,1,35,1
958,1,35,2
959,1,50,11
960,1,1,10
961,1,18,10
962,0,25,1
963,1,25,0
964,1,25,7
965,1,56,7
966,1,56,2
967,0,18,0
968,1,50,12
969,0,25,11
970,1,25,0
971,1,25,12
972,1,45,1
973,0,25,1
974,1,35,19
975,1,35,0
976,1,35,14
977,1,25,2
978,1,18,0
979,1,1,10
980,1,25,6
981,1,25,20
982,0,25,9
983,0,25,16
984,1,50,16
985,1,25,4
986,0,56,0
987,0,35,17
988,1,50,11
989,1,50,0
990,1,18,6
991,0,25,9
992,0,35,3
993,1,25,0
994,1,18,2
995,0,18,4
996,1,25,17
997,1,1,19
998,1,45,20
999,1,25,15
1000,0,25,6
1001,1,25,4
1002,1,50,11
1003,1,25,2
1004,1,25,3
1005,1,35,11
1006,1,18,4
1007,1,50,12
1008,1,35,3
1009,1,50,7
1010,1,25,0
1011,1,25,8
1012,0,35,1
1013,1,56,13
1014,0,45,17
1015,1,35,3
1016,1,56,16
1017,1,35,0
1018,1,18,4
1019,1,35,1
1020,1,18,20
1021,1,35,0
1022,1,25,3
1023,1,56,13
1024,0,35,1
1025,1,25,16
1026,0,45,0
1027,1,18,4
1028,0,45,7
1029,1,25,0
1030,1,25,7
1031,1,35,16
1032,1,50,16
1033,1,25,5
1034,0,35,1
1035,1,18,2
1036,1,35,7
1037,1,45,7
1038,0,56,15
1039,0,35,1
1040,1,25,11
1041,1,45,2
1042,1,35,5
1043,0,50,11
1044,1,25,20
1045,0,1,10
1046,1,56,18
1047,1,18,0
1048,1,35,6
1049,1,45,14
1050,1,25,1
1051,0,25,0
1052,0,35,2
1053,1,35,0
1054,1,1,10
1055,1,35,0
1056,1,1,0
1057,1,45,17
1058,1,25,1
1059,0,25,0
1060,1,18,10
1061,1,45,0
1062,1,50,19
1063,1,35,7
1064,1,25,7
1065,0,25,0
1066,1,45,12
1067,1,35,12
